"StudyID","ManuscriptReference","TaskStratum","BibliographicReference","PublicReleaseNote","PublicationView","SourceStatus","PermittedScope"
"P01","18","Static reconstruction","Si C, Zhang Y, Li R, Yang Z, Liu R, Yang D. Design2Code: Benchmarking Multimodal Code Generation for Automated Front-End Engineering. In: NAACL 2025. 2025. doi:10.18653/v1/2025.naacl-long.199.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_targeted_claims","NAACL 2025 published PDF §4.3/Table 2, p3962: combined visual-preference predictor and held-out split verified; not individual-metric or functional validity"
"P05","19","Static reconstruction / iterative","Wan Y, Wang C, Dong Y, Wang W, Li S, Huo Y, Lyu MR. Divide-and-Conquer: Generating UI Code from Screenshots. Proceedings of the ACM on Software Engineering. 2025;2(FSE):FSE094, 2099–2122. doi:10.1145/3729364.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_archived_extraction","Source Extraction rows 44–53: published DCGen methods, human outcomes and parameter-selection roles"
"P06","20","Static reconstruction","Wu F, Gao C, Li S, Wen XC, Liao Q. MLLM-Based UI2Code Automation Guided by UI Layout Information. Proceedings of the ACM on Software Engineering. 2025. doi:10.1145/3728925.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_archived_extraction","Source Extraction rows 24–29: DOI-bearing report, success-conditioned comparisons; H01 rater-count ambiguity retained"
"P09","21","Static reconstruction","Gui Y, Li Z, Zhang Z, et al. UICopilot: Automating UI Synthesis via Hierarchical Code Generation from Webpage Designs. In: The Web Conference 2025. 2025. doi:10.1145/3696410.3714891. Claim-source version inspected: [arXiv:2505.09904v2](https://arxiv.org/abs/2505.09904v2); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_archived_extraction","Source Extraction rows 54–57: v2 visual metrics, inherited score version and paired method preference"
"P11","22","Interactive reconstruction","Xiao J, Wan Y, Huo Y, et al. Interaction2Code: Benchmarking MLLM-based Interactive Webpage Code Generation from Interactive Prototyping. In: 40th IEEE/ACM International Conference on Automated Software Engineering (ASE 2025). 2025:241–253. doi:10.1109/ASE63991.2025.00028. Claim-source version inspected: [arXiv:2411.03292v3](https://arxiv.org/abs/2411.03292v3); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","arXiv:2411.03292v3 §III-C and §V-A2: detected implementation versus human usability; publication equivalence not checked"
"P04","23","Static reconstruction","Guo H, Zhang W, Chen J, et al. IW-Bench: Evaluating Large Multimodal Models for Converting Image-to-Web. In: Findings of ACL 2025. 2025. doi:10.18653/v1/2025.findings-acl.334.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_archived_extraction","Published abstract: DOM element and sequence-layout definitions; other detail from archived v2 extraction, not presumed publication-equivalent"
"P03","24","Static reconstruction","Gui Y, Li Z, Wan Y, et al. WebCode2M: A Real-World Dataset for Code Generation from Webpage Designs. In: The Web Conference 2025. 2025:1834–1845. doi:10.1145/3696410.3714889. Claim-source version inspected: [arXiv:2404.06369v2](https://arxiv.org/abs/2404.06369v2); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§3.2–3.3, Appendix A: TreeBLEU uses sets of height-one DOM subtrees excluding attributes. The visual-score footnote distinguishes an earlier Design2Code implementation from its later color component. Recitation failures affect roughly a third of Gemini cases; their aggregate treatment remains unresolved. Retain operational-definition and version-sensitivity claims, not a complete failure denominator."
"P10","25","Full front-end workflow","Sun H, Wang HW, Gu J, Li L, Cheng Y. FullFront: Benchmarking MLLMs Across the Full Front-End Engineering Workflow. arXiv:2505.17399, 2025.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_archived_extraction","Source Extraction P10 rows: v2 visual/code scores and bounded interaction outcomes; task subsets kept separate"
"P22","26","Engineering/reuse","Xiao J, Qin J, Li S, Lam MH, Wan Y, Huang JT, Huo Y, Lyu MR. ComUICoder: Component-based Reusable UI Code Generation for Complex Websites via Semantic Segmentation and Element-wise Feedback. arXiv:2602.19276, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§§2.1, 5.1, 6.1; Appendices A5.3, A6: External mockups constrain multi-page generation. Reuse and repetition scores are structural proxies. The main text describes a one-third human-study sample while the appendix describes 100 pages; these accounts are not reconciled. Annotator reliability and agreement in method preference do not establish item-level validity of each automatic metric. Reuse wording and its appendix formula also require caution."
"P18","27","Iterative refinement","Xu Q, Yu Y, Feng C, Liu X. 1D-Bench: A Benchmark for Iterative UI Code Generation with Visual Feedback in Real-World. arXiv:2602.18548, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_human_scoped_claim","H05 perturbation interpretation only; v1/v3 discrepancy retained"
