StudyID,ManuscriptReference,TaskStratum,BibliographicReference,PublicReleaseNote
P01,15,Static reconstruction,"Si C, Zhang Y, Li R, Yang Z, Liu R, Yang D. Design2Code: Benchmarking Multimodal Code Generation for Automated Front-End Engineering. In: NAACL 2025. 2025. doi:10.18653/v1/2025.naacl-long.199.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P05,16,Static reconstruction / iterative,"Wan Y, Wang C, Dong Y, Wang W, Li S, Huo Y, Lyu MR. Divide-and-Conquer: Generating UI Code from Screenshots. Proceedings of the ACM on Software Engineering. 2025;2(FSE):FSE094, 2099–2122. doi:10.1145/3729364.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P06,17,Static reconstruction,"Wu F, Gao C, Li S, Wen XC, Liao Q. MLLM-Based UI2Code Automation Guided by UI Layout Information. Proceedings of the ACM on Software Engineering. 2025. doi:10.1145/3728925.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P09,18,Static reconstruction,"Gui Y, Wan Y, Li Z, et al. UICopilot: Automating UI Synthesis via Hierarchical Code Generation from Webpage Designs. In: The Web Conference 2025. 2025. doi:10.1145/3696410.3714891.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P11,19,Interactive reconstruction,"Xiao J, Wan Y, Huo Y, et al. Interaction2Code: Benchmarking MLLM-based Interactive Webpage Code Generation from Interactive Prototyping. In: 40th IEEE/ACM International Conference on Automated Software Engineering (ASE 2025). 2025:241–253. doi:10.1109/ASE63991.2025.00028.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P04,20,Static reconstruction,"Guo H, Zhang W, Chen J, et al. IW-Bench: Evaluating Large Multimodal Models for Converting Image-to-Web. In: Findings of ACL 2025. 2025. doi:10.18653/v1/2025.findings-acl.334.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P03,21,Static reconstruction,"Gui Y, Li Z, Wan Y, et al. WebCode2M: A Real-World Dataset for Code Generation from Webpage Designs. In: The Web Conference 2025. 2025:1834–1845. doi:10.1145/3696410.3714889.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P10,22,Full front-end workflow,"Sun H, Wang HW, Gu J, Li L, Cheng Y. FullFront: Benchmarking MLLMs Across the Full Front-End Engineering Workflow. arXiv:2505.17399, 2025.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P22,23,Engineering/reuse,"Xiao J, Qin J, Li S, Lam MH, Wan Y, Huang JT, Huo Y, Lyu MR. ComUICoder: Component-based Reusable UI Code Generation for Complex Websites via Semantic Segmentation and Element-wise Feedback. arXiv:2602.19276, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P18,24,Iterative refinement,"Xu Q, Yu Y, Feng C, Liu X. 1D-Bench: A Benchmark for Iterative UI Code Generation with Visual Feedback in Real-World. arXiv:2602.18548, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P15,25,Generation/edit/repair benchmark,"Xiao J, Wang M, Lam MH, Wan Y, Liu J, Huo Y, Lyu MR. DesignBench: A Comprehensive Benchmark for MLLM-based Front-end Code Generation. arXiv:2506.06251, 2025.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P21,26,Agentic web coding / reward,"Li Y, Zhang C, Lv R, Liu A, Deng K, Zhang Y, Liu J, Zhou B. ReLook: Vision-Grounded RL with a Multimodal LLM Critic for Agentic Web Coding. In: ACL 2026. 2026:25471–25485. doi:10.18653/v1/2026.acl-long.1167.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
